,model,parameters,value
0,Glu_Growth_Glycolysis_C0,kf_SK_f6p_c,737.4381258994181
1,Glu_Growth_Glycolysis_C0,v_SK_nad_c,2.1112984128619696
2,Glu_Growth_Glycolysis_C0,v_SK_g3p_c,-0.1440346891994594
3,Glu_Growth_Glycolysis_C0,kf_SK_pyr_c,2879.989672422875
4,Glu_Growth_Glycolysis_C0,v_SK_dhap_c,-2.2045457100525914e-05
5,Glu_Growth_Glycolysis_C0,v_SK_pi_c,1.8294891176045636
6,Glu_Growth_Glycolysis_C0,v_SK_h2o_c,0.0
7,Glu_Growth_Glycolysis_C0,v_SK_h_c,0.0
8,Glu_Growth_Glycolysis_C0,v_SK_nadh_c,2.1112984128619323
9,Glu_Growth_Glycolysis_C0,v_SK_atp_c,1.151798290512409
10,Glu_Growth_Glycolysis_C0,v_SK_g6p_c,0.43748341026138243
11,Glu_Growth_Glycolysis_C0,v_SK_f6p_c,1.5651528007237656
12,Glu_Growth_Glycolysis_C0,kr_LDH_D5,10607973.434607612
13,Glu_Growth_Glycolysis_C0,kr_LDH_D4,140098854330.02203
14,Glu_Growth_Glycolysis_C0,kr_LDH_D3,9019902.315499187
15,Glu_Growth_Glycolysis_C0,kf_SK_amp_c,4.929075640118787
16,Glu_Growth_Glycolysis_C0,kr_LDH_D2,451149679.2571601
17,Glu_Growth_Glycolysis_C0,v_SK_adp_c,1.1999558373134203
18,Glu_Growth_Glycolysis_C0,v_SK__3pg_c,-0.11211024349897096
19,Glu_Growth_Glycolysis_C0,v_SK_pep_c,1.8215712731979459
20,Glu_Growth_Glycolysis_C0,v_SK_pyr_c,0.4018373831629701
21,Glu_Growth_Glycolysis_C0,v_PFK15_84,-5.196678429224871e-22
22,Glu_Growth_Glycolysis_C0,kf_SK__3pg_c,26.30501881062467
23,Glu_Growth_Glycolysis_C0,v_PFK14_84,4.1158496140686523e-26
24,Glu_Growth_Glycolysis_C0,v_PFK13_84,-1.242060118234887e-20
25,Glu_Growth_Glycolysis_C0,v_PFK12_84,3.101927297073854e-25
26,Glu_Growth_Glycolysis_C0,v_PFK11_84,3.357564354880814e-26
27,Glu_Growth_Glycolysis_C0,v_PFK15,1.3457892570933154
28,Glu_Growth_Glycolysis_C0,v_PFK14,1.3457892570950207
29,Glu_Growth_Glycolysis_C0,v_PFK13,1.3457892570932017
30,Glu_Growth_Glycolysis_C0,v_PFK12,1.3457892570950207
31,Glu_Growth_Glycolysis_C0,v_PFK11,1.3457892570931904
32,Glu_Growth_Glycolysis_C0,v_PGI3,-0.43748341026138293
33,Glu_Growth_Glycolysis_C0,kf_SK_pep_c,8872.47421664362
34,Glu_Growth_Glycolysis_C0,v_PGI2,-0.4374834102613647
35,Glu_Growth_Glycolysis_C0,v_PGI1,-0.43748341026139315
36,Glu_Growth_Glycolysis_C0,v_SK_lac__D_c,1.6366593762009187e-05
37,Glu_Growth_Glycolysis_C0,v_SK_amp_c,0.04815754680101556
38,Glu_Growth_Glycolysis_C0,kr_LDH_D1,11756904.974688612
39,Glu_Growth_Glycolysis_C0,kr_PPS6,20522582933.13328
40,Glu_Growth_Glycolysis_C0,kr_PPS5,24665635.655600313
41,Glu_Growth_Glycolysis_C0,kr_PPS4,3587878689178.755
42,Glu_Growth_Glycolysis_C0,kr_PGMi2,443556728038.73865
43,Glu_Growth_Glycolysis_C0,amp_b,0.01579026832775407
44,Glu_Growth_Glycolysis_C0,kr_PGMi1,126930.7312070972
45,Glu_Growth_Glycolysis_C0,kr_PGK9,208405.17292881114
46,Glu_Growth_Glycolysis_C0,kr_PGK8,3599998082450.041
47,Glu_Growth_Glycolysis_C0,kr_PGK7,4199839.901257909
48,Glu_Growth_Glycolysis_C0,kf_PGI2,6124818.254912563
49,Glu_Growth_Glycolysis_C0,kr_PGK6,0.16092661342612438
50,Glu_Growth_Glycolysis_C0,kr_PGK5,45920814.47868228
51,Glu_Growth_Glycolysis_C0,kr_PGK4,52376589377.3516
52,Glu_Growth_Glycolysis_C0,kr_PGK3,557.3738199079957
53,Glu_Growth_Glycolysis_C0,kr_PGK2,21139138613.853565
54,Glu_Growth_Glycolysis_C0,kr_PGK1,17003698564.57849
55,Glu_Growth_Glycolysis_C0,kr_GAPD6,2386776409852.115
56,Glu_Growth_Glycolysis_C0,kr_GAPD5,4369676498.550939
57,Glu_Growth_Glycolysis_C0,kr_GAPD4,2552926324689.6475
58,Glu_Growth_Glycolysis_C0,kr_GAPD3,3599998084196.6626
59,Glu_Growth_Glycolysis_C0,kr_PGMd1,8524115.000001356
60,Glu_Growth_Glycolysis_C0,v_PFK11_85,3.471381754772068e-38
61,Glu_Growth_Glycolysis_C0,kr_PGMd2,1721696448876.1948
62,Glu_Growth_Glycolysis_C0,kr_ENO1,235474197.73780617
63,Glu_Growth_Glycolysis_C0,kr_PPS3,1553296.107639819
64,Glu_Growth_Glycolysis_C0,kr_PPS2,20698360.821953755
65,Glu_Growth_Glycolysis_C0,kr_PPS1,758325.8822922768
66,Glu_Growth_Glycolysis_C0,kr_PYK25,2294308.6623261888
67,Glu_Growth_Glycolysis_C0,kr_PYK24,2184706.9984986843
68,Glu_Growth_Glycolysis_C0,kf_SK_lac__D_c,0.00948890366522761
69,Glu_Growth_Glycolysis_C0,kr_PYK23,2490001492653.9653
70,Glu_Growth_Glycolysis_C0,kr_PYK22,784400.6068225263
71,Glu_Growth_Glycolysis_C0,kr_PYK21,67923.03779795441
72,Glu_Growth_Glycolysis_C0,kr_PYK15,501.94826472510374
73,Glu_Growth_Glycolysis_C0,kr_PYK14,3253938184140.41
74,Glu_Growth_Glycolysis_C0,kr_PYK13,2966384210850.567
75,Glu_Growth_Glycolysis_C0,kr_PYK12,3253938184140.41
76,Glu_Growth_Glycolysis_C0,kr_PYK11,516572.4995408668
77,Glu_Growth_Glycolysis_C0,kr_ENO3,54403.62474087332
78,Glu_Growth_Glycolysis_C0,kr_ENO2,201013096784.6263
79,Glu_Growth_Glycolysis_C0,kf_PGI1,131035219810.01767
80,Glu_Growth_Glycolysis_C0,kr_PGMd3,2866386.962938404
81,Glu_Growth_Glycolysis_C0,kf_PGI3,131928.22844764183
82,Glu_Growth_Glycolysis_C0,v_PFK12_85,3.749522396435928e-38
83,Glu_Growth_Glycolysis_C0,v_PFK14_85,3.7495223581763815e-38
84,Glu_Growth_Glycolysis_C0,v_PGK2,7.99498478369371e-09
85,Glu_Growth_Glycolysis_C0,v_PGK1,2.11128203827316
86,Glu_Growth_Glycolysis_C0,v_GAPD6,2.1112820462685704
87,Glu_Growth_Glycolysis_C0,v_GAPD5,2.11128204626948
88,Glu_Growth_Glycolysis_C0,v_GAPD4,2.11128204626948
89,Glu_Growth_Glycolysis_C0,v_GAPD3,2.111282045021653
90,Glu_Growth_Glycolysis_C0,v_GAPD2,2.1112820462681734
91,Glu_Growth_Glycolysis_C0,v_PGK3,5.949735981469352e-08
92,Glu_Growth_Glycolysis_C0,kf_SK_pi_c,2312.3581236443906
93,Glu_Growth_Glycolysis_C0,v_TPI3,1.1276473551988602
94,Glu_Growth_Glycolysis_C0,v_TPI2,1.1276473450052673
95,Glu_Growth_Glycolysis_C0,v_TPI1,1.1276473450052436
96,Glu_Growth_Glycolysis_C0,v_FBA24,0.004330211845985404
97,Glu_Growth_Glycolysis_C0,v_FBA23,0.004330211845985402
98,Glu_Growth_Glycolysis_C0,v_FBA22,0.004330211845982035
99,Glu_Growth_Glycolysis_C0,pyr_b,0.0002704881666780142
